n,insertDuration,searchDuration,startsWithDuration,getAllWithPrefixDuration
3621,8542,2584,667,13750
3631,8375,2750,708,6709
3641,9291,2625,625,10667
3651,9959,2583,708,2833
3661,9125,2583,667,4875
3671,9167,2625,750,20000
3681,9208,2750,750,13875
3691,9125,2625,625,12167
3701,9500,2750,791,10084
3711,9209,2750,625,16500
3721,9125,2500,708,9792
3731,11042,2750,708,18542
3741,7667,2709,667,11292
3751,9458,2750,667,10291
3761,9250,2584,667,16709
3771,9500,2791,708,13667
3781,9584,2708,750,17125
3791,9500,2542,750,8209
3801,9084,2625,583,9334
3811,8291,2625,625,8083
3821,9166,2583,667,21333
3831,9583,2750,667,13792
3841,9250,2750,708,11208
3851,8708,2792,625,17167
3861,8833,2875,709,8042
3871,9292,2792,667,15250
3881,9041,2750,708,19917
3891,9542,2583,625,13958
3901,9292,3000,667,15958
3911,10542,2708,667,10541
3921,9584,2583,958,14459
3931,9500,2625,625,13542
3941,9250,2708,667,9958
3951,9750,2667,708,16166
3961,8959,2666,625,13500
3971,9291,2583,791,12125
3981,9250,2583,667,10208
3991,9417,2708,667,12417
4001,9375,2667,708,6583
4011,9375,2667,667,19083
4021,8500,2708,750,16125
4031,9583,2833,875,11000
4041,8792,2583,709,17291
4051,9334,2834,625,14166
4061,9750,2792,708,18500
4071,9541,2709,625,14375
4081,9583,3291,958,13500
4091,9375,2834,625,10000
4101,8250,2625,667,15541
4111,9292,2709,708,7959
4121,9208,2958,625,11875
4131,9250,2666,667,12708
4141,9375,2750,667,8416
4151,10958,2916,791,11166
4161,9000,2667,666,19667
4171,9333,2833,917,13708
4181,9291,2667,667,14208
4191,9167,2584,625,11750
4201,8625,2625,666,14584
4211,10667,2667,667,10000
4221,9333,2666,4709,13583
4231,9375,2708,708,8541
4241,9250,2750,750,16250
4251,9458,2792,625,11167
4261,9417,2625,708,13125
4271,9541,2666,709,13041
4281,9375,2792,708,24792
4291,8417,2666,709,13916
4301,8708,2792,833,9917
4311,9375,2584,875,14416
4321,9292,2584,666,8833
4331,9167,2625,750,17458
4341,8709,2750,709,29833
4351,9750,2750,833,14167
4361,9708,2542,709,11916
4371,9583,2750,708,9084
4381,9542,2500,667,8125
4391,9625,2666,709,15208
4401,10458,2583,708,16709
4411,8375,2625,667,11958
4421,9291,2834,791,13834
4431,8625,2833,792,20250
4441,9417,2667,750,9375
4451,9250,2792,708,23375
4461,9333,2709,666,16416
4471,9542,2750,666,11292
4481,9500,2667,708,18500
4491,11000,2625,667,11875
4501,9041,2667,708,11625
4511,9292,2458,667,19083
4521,9459,2584,791,19250
4531,9292,2625,708,12875
4541,9708,2959,708,10750
4551,9084,2583,625,8375
4561,9209,2708,709,13166
4571,9250,2750,708,15000
4581,8500,3083,666,14459
4591,9166,2875,750,11667
4601,9459,2708,667,14333
4611,8417,2541,708,16000
4621,9625,2667,708,8792
4631,9333,2750,666,12959
4641,9708,2667,708,19000
4651,9250,2750,708,11583
4661,9375,2625,667,13000
4671,7708,2542,625,12125
4681,8417,2542,875,12375
4691,9250,2458,667,10875
4701,10333,2667,708,11167
4711,9584,2792,750,14041
4721,9375,2708,667,17250
4731,9667,2542,667,13000
4741,9292,2667,667,13666
4751,8958,2583,625,15416
4761,11916,2667,667,13125
4771,9292,2584,625,17333
4781,9125,2542,667,13416
4791,9375,2583,667,12542
4801,8584,2708,708,11584
4811,8709,3083,708,18042
4821,9958,2667,1083,23000
4831,9209,2708,625,14625
4841,8750,3000,875,14417
4851,8417,2792,1125,18167
4861,8667,2833,1166,19083
4871,9917,2708,792,19875
4881,9625,2750,666,19875
4891,9208,2791,667,14958
4901,9000,2750,666,10542
4911,8666,2917,959,17792
4921,9625,2750,750,13417
4931,9417,2666,834,14583
4941,10791,2750,667,11042
4951,8666,2792,750,21833
4961,8292,2875,750,22167
4971,9375,2917,791,25667
4981,9334,2666,834,18250
4991,9125,2666,750,18167
5001,9667,2750,667,23541
5011,9500,2625,750,16291
5021,9458,2666,792,12583
5031,8583,2583,750,18833
5041,9792,2750,708,12875
5051,9500,2833,709,10583
5061,10333,2709,791,20375
5071,8709,2833,750,14709
5081,9250,2667,917,20958
5091,9208,2666,959,15208
5101,8917,2666,709,19625
5111,9375,2708,708,20917
5121,13917,2542,666,12417
5131,9209,2750,708,15375
5141,8417,2625,666,17459
5151,8709,2750,792,16834
5161,9542,2875,708,18541
5171,9250,2666,666,15166
5181,10542,2625,750,9958
5191,10125,2583,667,21916
5201,9000,2625,625,18375
5211,8833,2667,625,12792
5221,9542,2833,709,13750
5231,9541,2667,750,13375
5241,9250,2542,625,13667
5251,9375,2750,708,15500
5261,10209,2792,708,22833
5271,9667,2792,708,18209
5281,9584,2791,709,21916
5291,9792,2625,709,11958
5301,9375,2583,833,19709
5311,11166,2584,666,23917
5321,9584,2625,583,16083
5331,9333,2625,625,10500
5341,9334,2625,708,18459
5351,10583,2750,1167,24208
5361,8708,2792,875,15167
5371,11167,2625,666,25917
5381,9500,2666,917,23458
5391,8458,2542,666,13250
5401,9625,2667,708,14458
5411,9792,2500,750,15459
5421,9583,2875,917,15750
5431,9166,2625,1042,16958
5441,8375,2750,1083,15000
5451,9583,2667,1083,13041
5461,8167,2708,750,18875
5471,9959,2875,1000,22625
5481,10459,2625,791,17458
5491,9167,2750,834,14291
5501,9416,2750,1167,14292
5511,9334,3042,958,13917
5521,9458,2667,833,20375
5531,9000,2750,1333,12750
5541,9833,2792,1083,16292
5551,9875,3042,875,16875
5561,9459,2791,1084,16291
5571,9542,2625,1000,26041
5581,12042,2875,1000,26000
5591,9792,2959,833,25834
5601,9583,2709,1292,15917
5611,9083,2834,833,17042
5621,9000,2791,834,15583
5631,9333,2875,917,22125
5641,9625,2792,791,20292
5651,10042,3042,1042,23541
5661,11000,2750,958,29125
5671,9625,2833,791,14334
5681,9458,2750,958,18459
5691,8625,3041,709,32500
5701,9416,2833,792,16750
5711,11250,3167,1292,28166
5721,8625,2916,1000,15125
5731,9250,2750,875,15084
5741,9959,2625,750,18041
5751,9292,2791,791,12542
5761,8209,2625,708,23958
5771,8792,2583,667,12625
5781,9667,2667,792,25250
5791,9333,2542,708,13416
5801,9541,2625,667,18583
